1 369 0.3123634541710644 	 amazed
1 370 0.31141782861600853 	 song don t
1 371 0.3108197327135897 	 childhood
1 372 0.31063999898933087 	 bad day
1 373 0.31023801166563053 	 white noise
1 374 0.3094973944920776 	 help
1 375 0.3088540593299067 	 sleep
1 376 0.30880793766520337 	 composition
1 377 0.3085720132981096 	 song don t like
1 378 0.3083318371458357 	 capture
1 379 0.3080530016389846 	 absolutely love
1 380 0.3077844915166297 	 movie
1 381 0.3074496964132426 	 relaxed
1 382 0.30675219417718047 	 catch
1 383 0.3065067401378461 	 combination
1 384 0.3058972057417987 	 s got
1 385 0.3057843805631875 	 caught
1 386 0.3055592313807566 	 pleasantly surprised
1 387 0.3051294332141977 	 good version song
1 388 0.30462697171886444 	 song listen
1 389 0.3036431141908862 	 met
1 390 0.30353070221881057 	 everybody
1 391 0.3034977881953254 	 college
1 392 0.30321867979807327 	 cheaper
1 393 0.3031045621827352 	 did great
1 394 0.30209921460912653 	 ve
1 395 0.3019157753780122 	 like wouldn t
1 396 0.3019157753780122 	 like wouldn
1 397 0.3015902024943992 	 pleasure
1 398 0.30123510954687693 	 ta
1 399 0.30118607407289594 	 regret
1 400 0.30096430790494416 	 haven
1 401 0.3008414130546831 	 great sound
1 402 0.3005023440116971 	 america
1 403 0.3003392111291603 	 power
1 404 0.30020505202672576 	 pleasant surprise
1 405 0.3001938967328655 	 just remembered
1 406 0.30006129493284067 	 daily
1 407 0.2999703043445365 	 cute
1 408 0.2998273476955359 	 rockin
1 409 0.29980937057209267 	 disappoints
1 410 0.29975009982902845 	 t let
1 411 0.29879088714629304 	 doesn t love
1 412 0.2974706245236201 	 greatest
1 413 0.2973775084634794 	 provides
1 414 0.2972481189924122 	 film
1 415 0.29696255373845626 	 liked bought
1 416 0.2963402461575233 	 tune
1 417 0.2961025294332234 	 wa released
1 418 0.2954401647954399 	 surprisingly
1 419 0.2954064152209462 	 queen
1 420 0.2953405924938296 	 second album
1 421 0.29533072209760913 	 mother
1 422 0.294625831952872 	 message
1 423 0.2945221284905219 	 don t miss
1 424 0.29445368587761467 	 trip
1 425 0.2942539900367323 	 mom
1 426 0.29405940906024014 	 didn t think
1 427 0.29405056536126006 	 enjoys
1 428 0.2940158001342837 	 just like original
1 429 0.2939790439081846 	 dark
1 430 0.2936489703225592 	 prof
1 431 0.2931086224556527 	 blessed
1 432 0.29310807515140896 	 natural
1 433 0.292805615142411 	 music library
1 434 0.2927534536442009 	 crisp
1 435 0.2926305295239348 	 series
1 436 0.2925556896275153 	 downloaded perfectly
1 437 0.292517589978582 	 em
1 438 0.2923173588288865 	 closest
1 439 0.29212199402300426 	 thank amazon
1 440 0.29208351679908406 	 genre
1 441 0.29172044649830836 	 long time
1 442 0.29170212450213184 	 heartfelt
1 443 0.2912179647524695 	 emotional
1 444 0.290917109786932 	 clear
1 445 0.29065813119624173 	 al
1 446 0.29019309304519375 	 like bought
1 447 0.28967876087799166 	 great job
1 448 0.28943738176735123 	 emotion
1 449 0.28938921252663413 	 folk
1 450 0.28918096313984776 	 wa good
1 451 0.28884510861410534 	 took
1 452 0.28879934042366534 	 great version
1 453 0.28861968786913705 	 intense
1 454 0.28843996364111213 	 got ta
1 455 0.2883696843951392 	 looking forward
1 456 0.2882166710660979 	 performed
1 457 0.2879825367304833 	 british
1 458 0.2863332502789085 	 love track
1 459 0.2857672342592194 	 definite
1 460 0.2853884534567612 	 helped
1 461 0.28534044306465195 	 feel
1 462 0.2850434461097371 	 just buy
1 463 0.28494875822748245 	 magical
1 464 0.28470012100202025 	 love song
1 465 0.2845813351854553 	 star instead
1 466 0.28453096843610376 	 workout
1 467 0.28426707509636073 	 winner
1 468 0.28367499830928006 	 nice version
1 469 0.28324351554182703 	 just better
1 470 0.28323924814412715 	 really enjoyed
1 471 0.2831710883705178 	 rocking
1 472 0.28307258399809293 	 song don
1 473 0.28250782079126885 	 sings
1 474 0.28243957017202515 	 wa best
1 475 0.2818720194822845 	 brought
1 476 0.28179635250010804 	 flawless
1 477 0.28140098082624376 	 place
1 478 0.2814000846317841 	 solid album
1 479 0.28126874742165814 	 t know
1 480 0.28099004188713517 	 romantic
1 481 0.2801928289509756 	 month
1 482 0.2801848802136696 	 album worth
1 483 0.279902878480413 	 good buy
1 484 0.2798974164346894 	 alarm
1 485 0.2798553833861376 	 bravo
1 486 0.2795454797428554 	 poignant
1 487 0.27907080786142374 	 feel better
1 488 0.2789610738746552 	 era
1 489 0.27895361983888695 	 yeah
1 490 0.27893014049650644 	 hand
1 491 0.277688459727989 	 touching
1 492 0.27659361626987344 	 did wa
1 493 0.27638954942745264 	 focus
1 494 0.2762966705363419 	 haven t
1 495 0.2761701616997616 	 blend
1 496 0.275451489584746 	 quite
1 497 0.27534879427855685 	 played
1 498 0.2752363420116695 	 enjoy version
1 499 0.27523580342851817 	 keeper
0 0 -4.430026304683927 	 ok
0 1 -3.616919554131424 	 terrible
0 2 -3.3912940863471714 	 okay
0 3 -3.2266692073706005 	 poor
0 4 -3.22226323530507 	 horrible
0 5 -3.0568017751461753 	 worst
0 6 -3.0564645786719877 	 money
0 7 -2.956179289059968 	 boring
0 8 -2.8875135447426237 	 disappointing
0 9 -2.852794900632564 	 disappointed
0 10 -2.83356059570105 	 awful
0 11 -2.739662820147879 	 suck
0 12 -2.558711356661286 	 refund
0 13 -2.547354810775026 	 crap
0 14 -2.541587012328877 	 karaoke
0 15 -2.489682669561567 	 waste
0 16 -2.2834762752339204 	 bad
0 17 -2.1567035960164835 	 sorry
0 18 -2.1432404383734713 	 garbage
0 19 -2.0985594987636187 	 annoying
0 20 -2.039113189291335 	 mistake
0 21 -1.9956779489528218 	 sound like
0 22 -1.9455839181577392 	 deleted
0 23 -1.9302044777883554 	 thought
0 24 -1.9191287199487659 	 tried
0 25 -1.894353606500584 	 paid
0 26 -1.885001037287594 	 file
0 27 -1.8202754019938847 	 original
0 28 -1.8027560338489708 	 did
0 29 -1.7941758658206766 	 ordered
0 30 -1.7359906097860067 	 download
0 31 -1.721658017527173 	 unfortunately
0 32 -1.7079599589956758 	 thought wa
0 33 -1.6772226893950355 	 guess
0 34 -1.6643178231118927 	 expected
0 35 -1.6262353991618648 	 version
0 36 -1.6098491352452555 	 hate
0 37 -1.5177042293719019 	 t
0 38 -1.5171380564394545 	 wanted
0 39 -1.5005717581843667 	 hoping
0 40 -1.4873348310163068 	 wasted
0 41 -1.4855164525820006 	 second
0 42 -1.4714338057173668 	 sample
0 43 -1.4481315152346768 	 didn
0 44 -1.443105928722809 	 mediocre
0 45 -1.4349846190532607 	 didn t
0 46 -1.4288401760855394 	 skip
0 47 -1.4203810659593972 	 lack
0 48 -1.4197911382967554 	 expecting
0 49 -1.4175230979747355 	 instead
0 50 -1.4109808247240259 	 wa expecting
0 51 -1.4057743221598673 	 wa hoping
0 52 -1.3786285607399777 	 disappointment
0 53 -1.3718297040242113 	 s ok
0 54 -1.3706308301304235 	 trash
0 55 -1.3551826596378984 	 pay
0 56 -1.339071892383683 	 trying
0 57 -1.3365084714691005 	 original artist
0 58 -1.3043517148369863 	 misleading
0 59 -1.2918087404263945 	 low
0 60 -1.2606105377533037 	 minute
0 61 -1.259917093648921 	 order
0 62 -1.2556488577146363 	 downloaded
0 63 -1.2530135124729957 	 wa
0 64 -1.248798568708137 	 stupid
0 65 -1.2363950105014363 	 t play
0 66 -1.2336058288520977 	 purchased
0 67 -1.231294319925968 	 unable
0 68 -1.2201442899266282 	 s okay
0 69 -1.2096886805798248 	 fault
0 70 -1.192266317108946 	 dont
0 71 -1.180415813422889 	 t work
0 72 -1.1789483134928889 	 lame
0 73 -1.177255795499865 	 actual
0 74 -1.172565472981718 	 delete
0 75 -1.1724244717028975 	 did like
0 76 -1.170727099813234 	 wa free
0 77 -1.1679898467099292 	 meh
0 78 -1.1589355531461667 	 free
0 79 -1.153165704596249 	 worse
0 80 -1.1515188830446772 	 weak
0 81 -1.1458239574310327 	 t download
0 82 -1.124924195492865 	 t buy
0 83 -1.1169955682399006 	 ruin
0 84 -1.11292829950966 	 didnt
0 85 -1.1037758775776 	 wrong song
0 86 -1.0992387801338876 	 poorly
0 87 -1.093187421364527 	 wa disappointed
0 88 -1.0861190563531125 	 generic
0 89 -1.0831816440929767 	 computer
0 90 -1.0702145300057013 	 maybe
0 91 -1.0654169241990534 	 half
0 92 -1.0483162443754401 	 rip
0 93 -1.0471180637193118 	 beware
0 94 -1.0392393326219733 	 charged
0 95 -1.0364455851480732 	 preview
0 96 -1.0336093014310315 	 noise
0 97 -1.018215574563861 	 bought
0 98 -1.0141693396055123 	 description
0 99 -1.0070793183052478 	 unless
0 100 -0.989951067993503 	 account
0 101 -0.9886987817013654 	 error
0 102 -0.9846662912914439 	 useless
0 103 -0.9752490112615689 	 amazon
0 104 -0.9662358239710233 	 don t buy
0 105 -0.9546044633048025 	 did order
0 106 -0.9504427956525398 	 waste money
0 107 -0.9500503992987948 	 song cut
0 108 -0.9486641352225076 	 flat
0 109 -0.942431781515594 	 hoped
0 110 -0.9275024068520253 	 ruined
0 111 -0.9256187851011654 	 sadly
0 112 -0.9237320357981845 	 wa looking
0 113 -0.9224109481399019 	 barely
0 114 -0.9176854782643256 	 return
0 115 -0.9084030517589731 	 zero
0 116 -0.90300885624297 	 decent
0 117 -0.9017695972404136 	 fake
0 118 -0.8923859267478699 	 recording
0 119 -0.8854219876499293 	 clip
0 120 -0.8803326751677846 	 explicit
0 121 -0.8724045810907239 	 listed
0 122 -0.8722918650639956 	 happened
0 123 -0.8631496841212198 	 avoid
0 124 -0.8610995560575814 	 repetitive
0 125 -0.8594656822015344 	 bland
0 126 -0.8522882470850094 	 idea
0 127 -0.8518274250438982 	 supposed
0 128 -0.8465143002471146 	 cent
0 129 -0.8455575040630685 	 waste time
0 130 -0.844082874051387 	 cup tea
0 131 -0.8436338159137621 	 just ok
0 132 -0.8414917399780053 	 crappy
0 133 -0.8386482478227281 	 average
0 134 -0.8384180592746825 	 attempt
0 135 -0.8381001031446231 	 save
0 136 -0.8361133251712425 	 received
0 137 -0.8352931905699947 	 cover band
0 138 -0.8344268845396483 	 wasn
0 139 -0.8344268845396483 	 wasn t
0 140 -0.8344087839392965 	 purchase
0 141 -0.8299488040979641 	 static
0 142 -0.8280900235515035 	 sounded
0 143 -0.8266821004427266 	 app
0 144 -0.8227642006456007 	 cut
0 145 -0.8185120383734339 	 wa okay
0 146 -0.8121429906655154 	 don t remember
0 147 -0.8115065922394742 	 half song
0 148 -0.8100649407397279 	 correct
0 149 -0.8088194308403109 	 complete
0 150 -0.7974138743893775 	 just didn t
0 151 -0.797141701803932 	 just didn
0 152 -0.7964358623880217 	 edited
0 153 -0.7946529133026491 	 buying
0 154 -0.7925633543081506 	 stink
0 155 -0.7839268859493196 	 ripped
0 156 -0.7817578882213906 	 poor quality
0 157 -0.77476564312003 	 joke
0 158 -0.7746818308251959 	 junk
0 159 -0.7744130877895177 	 remove
0 160 -0.7731421276808834 	 eh
0 161 -0.7669501149703112 	 actual song
0 162 -0.7624182437913035 	 lousy
0 163 -0.7609151653602402 	 thinking
0 164 -0.7517952730504789 	 graphic
0 165 -0.7483830164461363 	 ripoff
0 166 -0.7472464205907628 	 audio
0 167 -0.7467051961704058 	 middle
0 168 -0.7462356439626118 	 want money
0 169 -0.74056794060844 	 forgettable
0 170 -0.7366596060800201 	 couple good
0 171 -0.7366216150191023 	 care
0 172 -0.7352774124150664 	 overrated
0 173 -0.7343682071488377 	 cup
0 174 -0.7335204001327627 	 tea
0 175 -0.731758511802453 	 load
0 176 -0.7278794043403689 	 screen
0 177 -0.7270034047388066 	 original recording
0 178 -0.7268566129129713 	 fix
0 179 -0.7096611646686457 	 sell
0 180 -0.7070786241354996 	 apparently
0 181 -0.7037764226844683 	 garth
0 182 -0.7027922981291668 	 just doesn
0 183 -0.7027922981291668 	 just doesn t
0 184 -0.7027804940468068 	 t recommend
0 185 -0.6971033438321605 	 save money
0 186 -0.6964810471221664 	 did purchase
0 187 -0.6952295507704727 	 lacking
0 188 -0.6941118068916622 	 abruptly
0 189 -0.6928300103856155 	 t use
0 190 -0.6927716232640208 	 thinking wa
0 191 -0.6925115036247516 	 real song
0 192 -0.6923718558733691 	 stolen
0 193 -0.6910387674362723 	 irritating
0 194 -0.6903756065199861 	 distorted
0 195 -0.6791889399599111 	 original song
0 196 -0.6774847392356101 	 just okay
0 197 -0.677213415925864 	 ordering
0 198 -0.6764291491042259 	 ugh
0 199 -0.6714871032583578 	 mess
0 200 -0.6694538536429456 	 did download
0 201 -0.6674086526202399 	 volume
0 202 -0.6625497214637265 	 honestly
0 203 -0.6618733752215777 	 rest
0 204 -0.6593590018404947 	 isn t
0 205 -0.6593309076190533 	 isn
0 206 -0.6581660949429274 	 false
0 207 -0.6559953221042288 	 worst song
0 208 -0.6559581679738643 	 kind music
0 209 -0.6527380654433823 	 wa ok
0 210 -0.6520914015194412 	 sound
0 211 -0.6519877514689949 	 better
0 212 -0.6500215282781927 	 buyer
0 213 -0.6494434461726803 	 heard better
0 214 -0.6487398837697401 	 phone
0 215 -0.6449293404073058 	 wasnt
0 216 -0.6447908099988475 	 dollar
0 217 -0.6428284211397771 	 entire song
0 218 -0.6411347183806307 	 really bad
0 219 -0.6377455999122827 	 just
0 220 -0.6373540808313922 	 uninspired
0 221 -0.636575904812529 	 radio version
0 222 -0.6364371089758848 	 copyright
0 223 -0.6360921471887824 	 defective
0 224 -0.6352804085870677 	 really disappointed
0 225 -0.6348955951305538 	 item
0 226 -0.6325917803925333 	 version wanted
0 227 -0.6299551936934169 	 taste
0 228 -0.6289775486014908 	 nope
0 229 -0.6267081569107816 	 don t
0 230 -0.6253490056377996 	 missing
0 231 -0.6232543830155786 	 zero star
0 232 -0.6218192411574082 	 t good
0 233 -0.6172798155582995 	 realize
0 234 -0.6167994932918488 	 don t like
0 235 -0.6127951707767567 	 elevator
0 236 -0.6080899303939588 	 distortion
0 237 -0.5991161390291514 	 t remember
0 238 -0.5973728530501031 	 purchasing
0 239 -0.5961807070341576 	 got
0 240 -0.5953200128855448 	 cancel
0 241 -0.5946157700340367 	 little disappointed
